1	800	10
2	840	11
3	880	11
4	920	12
5	960	12
6	1000	13
7	1040	13
8	1080	14
9	1120	14
10	1160	15
11	1224	15
12	1288	16
13	1352	17
14	1416	18
15	1480	19
16	1544	19
17	1608	20
18	1672	21
19	1736	22
20	1800	23
21	1912	24
22	2000	25
23	2088	26
24	2176	27
25	2264	28
26	2352	29
27	2440	31
28	2528	32
29	2616	33
30	2704	34
31	3224	40
32	3328	42
33	3432	43
34	3536	44
35	3640	46
36	3744	47
37	3848	48
38	3952	49
39	4056	51
40	4160	52
41	5248	66
42	5376	67
43	5504	69
44	5632	70
45	5760	72
46	5888	74
47	6016	75
48	6144	77
49	6272	78
50	6400	80
51	8160	102
52	8320	104
53	8480	106
54	8640	108
55	8800	110
56	8960	112
57	9120	114
58	9280	116
59	9440	118
60	9600	120
61	12200	153
62	12400	155
63	12600	158
64	12800	160
65	13000	163
66	13200	165
67	13400	168
68	13600	170
69	13800	173
70	14000	175
71	18744	234
72	19008	238
73	19272	241
74	19536	244
75	19800	248
76	20064	251
77	20328	254
78	20592	257
79	20856	261
80	21120	264
81	27864	348
82	28208	353
83	28552	357
84	28896	361
85	29240	366
86	29584	370
87	29928	374
88	30272	378
89	30616	383
90	30960	387
91	42224	528
92	42688	534
93	43152	539
94	43616	545
95	44080	551
96	44544	557
97	45008	563
98	45472	568
99	45936	574
100	46400	580
